Goals,Assists,PTS,Plus_Minus,Penalty Infraction Minutes,EV,PP,GW,Shots on Goal,Shooting Percentage,Shifts,Time on Ice (Minutes:Seconds),TOI
1,0,1,1,0,0,1,0,10,10,24,25:57:00,1557
1,0,1,-2,0,0,1,0,6,16.7,23,23:39,1419
2,1,3,2,2,2,0,1,6,33.3,24,19:59,1199
0,0,0,1,0,0,0,0,2,0,21,21:33,1293
3,1,4,1,0,1,2,1,4,75,25,20:53,1253
2,0,2,1,0,2,0,0,8,25,21,20:33,1233
1,0,1,2,2,1,0,0,2,50,22,21:54,1314
0,0,0,1,0,0,0,0,6,0,25,22:32,1352
1,1,2,-1,0,1,0,0,9,11.1,24,21:37,1297
1,1,2,0,2,0,1,0,5,20,19,20:55,1255
0,0,0,-3,0,0,0,0,4,0,22,21:30,1290
2,1,3,1,0,1,1,0,6,33.3,20,18:38,1118
1,1,2,1,0,1,0,0,6,16.7,19,17:22,1042
1,0,1,1,2,1,0,0,3,33.3,22,17:47,1067
0,2,2,0,2,0,0,0,3,0,20,22:49,1369
0,1,1,0,0,0,0,0,8,0,19,23:21,1401
2,1,3,2,0,2,0,1,5,40,17,19:17,1157
1,0,1,0,4,1,0,1,3,33.3,21,22:38,1358
